Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.19     0.00       40     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      2.19     0.00       36     0.00     0.00  YAML::RegEx::RegEx(char)
  0.00      2.19     0.00       36     0.00     0.00  void std::vector<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> >, std::allocator<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> > > >::_M_realloc_insert<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> > >(__gnu_cxx::__normal_iterator<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> >*, std::vector<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> >, std::allocator<std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> > > > >, std::unique_ptr<YAML::Scanner::IndentMarker, std::default_delete<YAML::Scanner::IndentMarker> >&&)
  0.00      2.19     0.00       34     0.00     0.00  YAML::Node::~Node()
  0.00      2.19     0.00       34     0.00     0.00  YAML::Node::EnsureNodeExists() const
  0.00      2.19     0.00       31     0.00     0.00  YAML::detail::node_data::insert_map_pair(YAML::detail::node&, YAML::detail::node&)
  0.00      2.19     0.00       31     0.00     0.00  YAML::detail::node_data::insert(YAML::detail::node&, YAML::detail::node&, std::shared_ptr<YAML::detail::memory_holder> const&)
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::PushIndentTo(int, YAML::Scanner::IndentMarker::INDENT_TYPE)
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::VerifySimpleKey()
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::ScanValue()
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::SimpleKey::Validate()
